Trip_id,user_id,start_date,end_date,province
0001,0001,2021-09-16,2021-09-16,Sukhothai
0002,0001,2021-09-17,2021-09-17,Phayao
0003,0001,2021-11-19,2021-11-20,"Chiang Rai, Lampang, Phayao, Sukhothai"
0004,0001,2021-12-20,2021-12-20,Lampang
0005,0001,2021-12-25,2021-12-25,"Bangkok, Nonthaburi"
0006,0001,2021-12-28,2021-12-28,Lampang
0007,0002,2021-01-02,2021-01-02,Phra Nakhon Si Ayutthaya
0008,0002,2021-04-05,2021-04-06,"Ang Thong, Nonthaburi, Phra Nakhon Si Ayutthaya"
0009,0002,2021-09-15,2021-09-15,Nonthaburi
0010,0002,2021-10-19,2021-10-19,"Nonthaburi, Phra Nakhon Si Ayutthaya"
0011,0002,2021-11-19,2021-11-19,"Bangkok, Nonthaburi"
0012,0002,2021-12-30,2021-12-30,"Bangkok, Phra Nakhon Si Ayutthaya"
0013,0002,2021-12-31,2021-12-31,Nonthaburi
0014,0002,2022-01-01,2022-01-01,"Lop Buri, Saraburi"
0015,0002,2022-01-02,2022-01-02,Chiang Mai
0016,0002,2022-01-02,2022-01-03,"Bangkok, Lampang, Samut Prakan, Sukhothai"
0017,0002,2022-01-03,2022-01-03,"Bangkok, Nonthaburi"
0018,0002,2022-01-03,2022-01-04,"Bangkok, Samut Sakhon"
0019,0002,2022-01-05,2022-01-05,"Nakhon Pathom, Nonthaburi, Samut Prakan"
0020,0002,2022-01-06,2022-01-06,Nonthaburi
0021,0002,2022-01-07,2022-01-07,Phra Nakhon Si Ayutthaya
0022,0002,2022-01-09,2022-01-09,"Bangkok, Nakhon Pathom, Nonthaburi"
0023,0002,2022-01-09,2022-01-09,Nonthaburi
0024,0003,2021-01-02,2021-01-03,"Phra Nakhon Si Ayutthaya, Suphan Buri"
0025,0003,2021-01-04,2021-01-05,"Phetchaburi, Samut Sakhon, Samut Songkhram"
0026,0003,2021-01-05,2021-01-05,Suphan Buri
0027,0003,2021-09-17,2021-09-17,"Nakhon Sawan, Sing Buri, Suphan Buri"
0028,0003,2021-12-13,2021-12-15,"Chachoengsao, Chanthaburi, Kanchanaburi, Nakhon Pathom, Prachin Buri, Samut Prakan"
0029,0003,2021-12-17,2021-12-19,"Bangkok, Nakhon Pathom, Samut Sakhon"
0030,0003,2021-12-22,2021-12-22,Suphan Buri
0031,0003,2021-12-24,2021-12-24,"Bangkok, Nonthaburi"
0032,0003,2021-12-25,2021-12-25,Phetchaburi
0033,0003,2021-12-25,2021-12-25,Phetchaburi
0034,0003,2021-12-26,2021-12-26,Kanchanaburi
0035,0003,2021-12-29,2021-12-31,"Bangkok, Nakhon Pathom, Phetchaburi"
0036,0003,2021-12-31,2021-12-31,Samut Sakhon
0037,0003,2021-12-31,2021-12-31,"Bangkok, Samut Sakhon"
0038,0003,2022-01-01,2022-01-02,"Chiang Mai, Chiang Rai, Lampang, Lamphun, Phayao, Phrae"
0039,0004,2021-10-15,2021-10-15,"Nakhon Sawan, Sing Buri"
0040,0004,2021-10-15,2021-10-15,Suphan Buri
0041,0004,2021-12-16,2021-12-16,"Nakhon Pathom, Suphan Buri"
0042,0004,2021-12-26,2021-12-26,Sing Buri
0043,0004,2021-12-28,2021-12-28,Sing Buri
0044,0004,2021-12-30,2021-12-30,Nakhon Sawan
0045,0004,2021-12-31,2021-12-31,"Nakhon Sawan, Phichit"
0046,0004,2022-01-02,2022-01-02,Sing Buri
0047,0005,2021-01-02,2021-01-03,"Chiang Rai, Lampang, Phayao"
0048,0006,2021-09-07,2021-09-07,Samut Prakan
0049,0006,2021-09-09,2021-09-09,Suphan Buri
0050,0006,2021-09-11,2021-09-12,"Sing Buri, Suphan Buri"
0051,0006,2021-12-06,2021-12-06,Kanchanaburi
0052,0006,2021-12-14,2021-12-14,Ratchaburi
0053,0006,2021-12-29,2021-12-29,"Bangkok, Pathum Thani, Phra Nakhon Si Ayutthaya"
0054,0006,2021-12-31,2021-12-31,"Chachoengsao, Samut Prakan"
0055,0006,2022-01-01,2022-01-01,"Bangkok, Pathum Thani, Samut Prakan"
0056,0006,2022-01-01,2022-01-01,"Bangkok, Samut Sakhon, Samut Songkhram"
0057,0006,2022-01-01,2022-01-02,"Kanchanaburi, Ratchaburi, Samut Songkhram"
0058,0006,2022-01-02,2022-01-03,"Ratchaburi, Samut Sakhon"
0059,0006,2022-01-03,2022-01-03,Bangkok
0060,0006,2022-01-04,2022-01-04,"Bangkok, Nonthaburi"
0061,0006,2022-01-04,2022-01-04,"Pathum Thani, Samut Prakan"
0062,0007,2021-03-29,2021-03-30,"Ang Thong, Nonthaburi, Pathum Thani, Phra Nakhon Si Ayutthaya"
0063,0007,2021-04-01,2021-04-01,Pathum Thani
0064,0007,2021-06-07,2021-06-07,Samut Prakan
0065,0007,2021-10-27,2021-10-27,Pathum Thani
0066,0007,2021-12-13,2021-12-14,"Kanchanaburi, Pathum Thani, Phra Nakhon Si Ayutthaya, Ratchaburi, Suphan Buri"
0067,0007,2021-12-20,2021-12-20,Samut Sakhon
0068,0007,2021-12-27,2021-12-28,"Chachoengsao, Chon Buri, Prachin Buri, Samut Prakan"
0069,0007,2021-12-29,2021-12-29,Nonthaburi
0070,0007,2021-12-31,2021-12-31,Samut Prakan
0071,0007,2021-12-31,2022-01-01,"Nakhon Pathom, Pathum Thani, Samut Prakan"
0072,0008,2021-05-28,2021-05-28,Bangkok
0073,0008,2021-05-28,2021-05-29,"Bangkok, Pathum Thani, Phra Nakhon Si Ayutthaya"
0074,0008,2021-12-07,2021-12-08,"Chanthaburi, Trat"
0075,0008,2021-12-15,2021-12-15,Bangkok
0076,0008,2021-12-17,2021-12-18,"Nakhon Pathom, Nonthaburi"
0077,0008,2021-12-20,2021-12-21,"Chachoengsao, Chanthaburi, Chon Buri"
0078,0009,2021-11-02,2021-11-02,"Chiang Mai, Lampang"
0079,0009,2021-11-04,2021-11-05,"Chiang Mai, Lampang, Phayao"
0080,0009,2021-11-06,2021-11-06,"Bangkok, Samut Sakhon"
0081,0009,2021-11-08,2021-11-09,"Lampang, Phrae, Sukhothai"
0082,0009,2021-11-17,2021-11-18,"Bangkok, Chachoengsao, Chanthaburi, Samut Prakan"
0083,0009,2021-12-14,2021-12-14,Chiang Mai
0084,0009,2021-12-16,2021-12-16,"Bangkok, Nakhon Pathom"
0085,0009,2021-12-18,2021-12-18,"Bangkok, Samut Prakan"
0086,0009,2021-12-19,2021-12-20,"Lampang, Phayao"
0087,0009,2021-12-21,2021-12-21,Chiang Mai
0088,0009,2021-12-24,2021-12-24,"Chiang Mai, Chiang Rai, Lampang"
0089,0009,2021-12-28,2021-12-28,Chiang Mai
0090,0009,2021-12-30,2021-12-31,"Bangkok, Nonthaburi, Pathum Thani"
0091,0010,2021-01-05,2021-01-05,Chiang Rai
0092,0010,2021-04-24,2021-04-24,Lampang
0093,0010,2021-11-08,2021-11-09,"Phitsanulok, Sukhothai"
0094,0010,2021-11-17,2021-11-17,"Bangkok, Chachoengsao, Samut Prakan"
0095,0010,2021-11-18,2021-11-19,"Bangkok, Nakhon Pathom, Samut Sakhon"
0096,0010,2021-12-29,2021-12-29,Lamphun
0097,0010,2021-12-31,2021-12-31,"Chiang Rai, Lampang, Lamphun"
0098,0010,2022-01-01,2022-01-01,Lampang
0099,0011,2021-09-22,2021-09-22,"Nonthaburi, Pathum Thani"
0100,0011,2021-12-13,2021-12-13,Pathum Thani
0101,0011,2021-12-18,2021-12-18,Samut Sakhon
0102,0011,2021-12-28,2021-12-28,Samut Prakan
0103,0012,2021-01-02,2021-01-02,Pathum Thani
0104,0012,2021-01-03,2021-01-03,Nakhon Pathom
0105,0012,2021-01-04,2021-01-04,Pathum Thani
